All values in 2025 USD
 
Cost type,OPEX,OPEX,OPEX,OPEX,OPEX,OPEX,CAPEX,CAPEX,CAPEX,CAPEX,CAPEX,CAPEX
Climate scenario,Optimistic,Optimistic,Optimistic,Pessimistic,Pessimistic,Pessimistic,Optimistic,Optimistic,Optimistic,Pessimistic,Pessimistic,Pessimistic
Forecast scenario,Control,Status quo,Improvement,Control,Status quo,Improvement,Control,Status quo,Improvement,Control,Status quo,Improvement
Year,,,,,,,,,,,,
2020,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2021,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2022,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2023,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2024,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2025,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2026,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2027,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2028,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2029,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2030,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2031,0,500000,1000000,0,500000,1000000,0,0,4200000,0,0,4200000
2032,0,500000,1000000,0,500000,1000000,0,0,4200000,0,0,4200000
2033,0,500000,1000000,0,500000,1000000,0,0,4200000,0,0,4200000
2034,0,500000,1000000,0,500000,1000000,0,0,4200000,0,0,4200000
2035,0,500000,1000000,0,500000,1000000,0,0,4200000,0,0,4200000
2036,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2037,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2038,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2039,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2040,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2041,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2042,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2043,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2044,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2045,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2046,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2047,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2048,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2049,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
2050,0,500000,1000000,0,500000,1000000,0,0,0,0,0,0
