year,Optimistic,Pessimistic,SSP1-2.6-rolling,SSP5-8.5-rolling
1955,,,-0.8429999999999964,-0.852999999999998
1956,,,-0.8289999999999971,-0.8389999999999986
1957,,,-0.8239999999999945,-0.8339999999999961
1958,,,-0.8320000000000007,-0.8420000000000023
1959,,,-0.8619999999999948,-0.8719999999999963
1960,,,-0.8829999999999991,-0.8930000000000007
1961,,,-0.899999999999995,-0.9099999999999966
1962,,,-0.904999999999994,-0.9149999999999956
1963,,,-0.9229999999999947,-0.9329999999999963
1964,,,-0.9469999999999956,-0.9569999999999972
1965,,,-0.9390000000000001,-0.9490000000000016
1966,,,-0.9539999999999971,-0.9639999999999986
1967,,,-0.968,-0.9780000000000015
1968,,,-0.9729999999999954,-0.982999999999997
1969,,,-0.9399999999999977,-0.9499999999999993
1970,,,-0.9239999999999959,-0.9339999999999975
1971,,,-0.9169999999999945,-0.926999999999996
1972,,,-0.9079999999999977,-0.9179999999999993
1973,,,-0.8759999999999941,-0.8859999999999957
1974,,,-0.867999999999995,-0.8779999999999966
1975,,,-0.8519999999999968,-0.8619999999999983
1976,,,-0.8449999999999989,-0.8550000000000004
1977,,,-0.8320000000000007,-0.8420000000000023
1978,,,-0.8149999999999977,-0.8249999999999993
1979,,,-0.8320000000000007,-0.8420000000000023
1980,,,-0.8279999999999959,-0.8379999999999974
1981,,,-0.8239999999999945,-0.8339999999999961
1982,,,-0.8019999999999996,-0.8120000000000012
1983,,,-0.8029999999999973,-0.8129999999999988
1984,,,-0.7869999999999955,-0.796999999999997
1985,,,-0.7829999999999977,-0.7929999999999993
1986,,,-0.75,-0.7600000000000016
1987,,,-0.7449999999999974,-0.754999999999999
1988,,,-0.7719999999999985,-0.782
1989,,,-0.759999999999998,-0.7699999999999996
1990,,,-0.7379999999999995,-0.7480000000000011
1991,,,-0.7190000000000012,-0.7290000000000028
1992,,,-0.7199999999999989,-0.7300000000000004
1993,,,-0.7039999999999971,-0.7139999999999986
1994,,,-0.681999999999995,-0.6919999999999966
1995,,,-0.6739999999999959,-0.6839999999999975
1996,,,-0.6729999999999947,-0.6829999999999963
1997,,,-0.6300000000000026,-0.6400000000000041
1998,,,-0.5659999999999954,-0.575999999999997
1999,,,-0.532,-0.5420000000000016
2000,,,-0.5,-0.5100000000000016
2001,,,-0.4740000000000002,-0.48400000000000176
2002,,,-0.44399999999999906,-0.4540000000000006
2003,,,-0.42399999999999594,-0.4339999999999975
2004,,,-0.41099999999999426,-0.4209999999999958
2005,,,-0.37799999999999656,-0.3879999999999981
2006,,,-0.35199999999999676,-0.3619999999999983
2007,,,-0.3429999999999964,-0.352999999999998
2008,,,-0.31899999999999906,-0.3290000000000006
2009,,,-0.2869999999999955,-0.29699999999999704
2010,,,-0.28200000000000003,-0.2920000000000016
2011,,,-0.2629999999999981,-0.2629999999999981
2012,,,-0.25499999999999545,-0.2259999999999991
2013,,,-0.22999999999999687,-0.2069999999999972
2014,,,-0.19599999999999795,-0.16900000000000048
2015,,,-0.16599999999999682,-0.1479999999999997
2016,,,-0.1319999999999979,-0.12399999999999878
2017,,,-0.10199999999999676,-0.10099999999999909
2018,,,-0.08399999999999608,-0.06999999999999673
2019,-0.05399999999999494,-0.04800000000000182,-0.05799999999999983,-0.04200000000000159
2020,0.0,0.0,0.0,0.0
2021,0.05600000000000094,0.03800000000000381,0.05000000000000426,0.037000000000002586
2022,0.08800000000000097,0.06800000000000139,0.08900000000000574,0.05699999999999861
2023,0.11700000000000443,0.10799999999999699,0.1180000000000021,0.10700000000000642
2024,0.1340000000000039,0.14499999999999957,0.14700000000000202,0.14499999999999957
2025,0.16600000000000392,0.16600000000000392,0.17600000000000549,0.1840000000000046
2026,0.1750000000000007,0.19900000000000162,0.1980000000000004,0.22199999999999775
2027,0.1770000000000067,0.2410000000000032,0.2190000000000012,0.2650000000000041
2028,0.20500000000000185,0.267000000000003,0.2410000000000032,0.2930000000000028
2029,0.22400000000000375,0.32200000000000273,0.2699999999999996,0.3140000000000036
2030,0.22300000000000253,0.35600000000000165,0.272000000000002,0.3400000000000034
2031,0.2170000000000023,0.37000000000000455,0.28000000000000114,0.35600000000000165
2032,0.23799999999999955,0.42399999999999594,0.3090000000000046,0.397000000000002
2033,0.2690000000000019,0.4670000000000023,0.360000000000003,0.4139999999999979
2034,0.267000000000003,0.5160000000000018,0.397000000000002,0.44400000000000617
2035,0.2830000000000048,0.5910000000000011,0.41100000000000136,0.48799999999999955
2036,0.267000000000003,0.679000000000002,0.4230000000000018,0.5489999999999959
2037,0.3000000000000078,0.7389999999999972,0.44300000000000495,0.5940000000000012
