Climate scenario,Optimistic,Optimistic,Optimistic,Pessimistic,Pessimistic,Pessimistic
Forecast scenario,Control,Status quo,Improvement,Control,Status quo,Improvement
Year,,,,,,
2020,0.0,9.838895098646105e-05,0.00019678185319005337,0.0,9.838895098646105e-05,0.00019678185319005337
2021,-0.06050092093745629,-0.058607687758827076,-0.058653924803142576,-0.06050092093745629,-0.058607687758827076,-0.058653924803142576
2022,-0.22753746415531406,-0.22031378227651555,-0.2203714181156835,-0.23094467044917355,-0.22360891274250116,-0.22366435608061064
2023,-0.4395714882048596,-0.4255671442594533,-0.42558378360655347,-0.4520108232265452,-0.43759588560298157,-0.4376005155150353
2024,-0.7539385953148625,-0.7296278982197313,-0.7292904844507619,-0.7878826741923528,-0.7624444436216571,-0.7620619060067169
2025,-1.107641226043643,-1.071696087692564,-1.0708447465919702,-1.1756454158114327,-1.137431186073301,-1.136465617498228
2026,-1.5003032129494276,-1.45138216925903,-1.449813215092699,-1.614304758715146,-1.5615693472954106,-1.5597735621656117
2027,-1.9272788119199302,-1.8641733310723496,-1.8616509110428336,-2.1014200195962784,-2.0324750151154314,-2.0295529807781376
2028,-2.381450244318395,-2.30316769805875,-2.299429295149813,-2.632611735838253,-2.5458884681550664,-2.5414948159876327
2029,-2.854679097014712,-2.760479598919896,-2.7552421801846583,-3.19976246078556,-3.0939432091435015,-3.0876978699000968
2030,-3.338240843845386,-3.227663864390673,-3.2206337688568953,-3.797309183909414,-3.671241955069504,-3.6627201091343653
2031,-3.8236659446024945,-3.6965269097043008,-3.68740984485737,-4.4171499016175675,-4.269942045911746,-4.258695178997208
2032,-4.303590189112572,-4.1599471877079575,-4.148559833789111,-5.050259379910438,-4.88131600952697,-4.86699595174005
2033,-4.7725423819441115,-4.612634302998209,-4.598856802424556,-5.6920208728275075,-5.50089613827579,-5.483188600329958
2034,-5.227032268485776,-5.051212817788874,-5.034962582533775,-6.338678496645556,-6.125046751621122,-6.103651945422284
2035,-5.665082286420753,-5.473769811802242,-5.4549831153843815,-6.988594687356098,-6.752179857229146,-6.726788766777436
2036,-6.086382748309838,-5.88000404127259,-5.858614856876065,-7.643891273789061,-7.384335808517628,-7.354589851962379
2037,-6.491480700489182,-6.270441741579291,-6.246281736206583,-8.309321330057607,-8.026090666745045,-7.99146089484184
2038,-6.882022980722436,-6.646670177568758,-6.619482239680252,-8.988378745286262,-8.680805428291816,-8.640626395305029
2039,-7.260130386445818,-7.0107316184436,-6.980198433693463,-9.685306178772802,-9.352564303868904,-9.306059857461035
2040,-7.627699366539131,-7.364449981635279,-7.330215176553323,-10.403719820701795,-10.044849309685222,-9.991157352764501
2041,-7.986063636940632,-7.7091050729874215,-7.67079323184896,-11.148315673932663,-10.762184371513793,-10.70035619924682
2042,-8.336307138605115,-8.0457356723458,-8.002963482538073,-11.924770861117151,-11.51003278259961,-11.439026024088317
2043,-8.678881413028128,-8.374765543133478,-8.327153522324116,-12.734078453338427,-12.289345044516953,-12.208081059865805
2044,-9.013761109129625,-8.69616281352572,-8.643342430349243,-13.575424669562242,-13.09933039090635,-13.006722432563333
2045,-9.340334304467602,-9.00932964898985,-8.950950931773537,-14.446630291955763,-13.937895531031296,-13.832866689584279
2046,-9.657631332576466,-9.313325512785742,-9.249061604240605,-15.34332738654709,-14.800840248345725,-14.682355162591854
2047,-9.964962091163143,-9.607480811417869,-9.537023485143303,-16.25854803975859,-15.681461734691426,-15.548567748055897
2048,-10.261332355209651,-9.890834773022217,-9.813899465000775,-17.18542645541039,-16.573166042650566,-16.424997786744267
2049,-10.545637487428772,-10.162324238900366,-10.078653637208046,-18.122502271394293,-17.474578025954134,-17.310279123655093
2050,-10.816828992077564,-10.420945337524156,-10.330311267462077,-19.06413959246288,-18.380258458359222,-18.19904524906464
