Climate scenario,Optimistic,Optimistic,Pessimistic,Pessimistic
Forecast scenario,Status quo,Improvement,Status quo,Improvement
Year,,,,
2020,9.838895098646105e-05,0.00019678185319005337,9.838895098646105e-05,0.00019678185319005337
2021,0.0018943792955417038,0.0018481142604498402,0.0018943792955417038,0.0018481142604498402
2022,0.007240155946042215,0.0071823886646615875,0.007352738464283526,0.007297166786357501
2023,0.014066174839477696,0.014049462027632131,0.014480390556115275,0.01447573962134463
2024,0.024495377197886192,0.024835354184582492,0.025640245623592683,0.02602582112107843
2025,0.0363477409141888,0.037208617438055924,0.03866883816132649,0.03964589344200853
2026,0.04966618709107973,0.05125903886373795,0.05360068990762912,0.05542594013876467
2027,0.0643455999620457,0.06691758939902925,0.07042492801698774,0.07340968462721253
2028,0.0801922856420001,0.0840218886409172,0.08906808452939785,0.09358053191630411
2029,0.09696761225266304,0.10235893597938528,0.10931714046589214,0.11576892137281636
2030,0.1143957863171785,0.12166866816327726,0.13104335000453382,0.13990156993874958
2031,0.13219367960621842,0.14167321002964695,0.1540107410004099,0.16577735698115603
2032,0.15010281126375258,0.16200226908180682,0.17792925950101957,0.19301098346720114
2033,0.16792223896942016,0.18239023057424752,0.20266019516119727,0.22143648334989052
2034,0.18551645569966357,0.20266294339976731,0.22808961222779978,0.25093234587219015
2035,0.20280133725179006,0.2227162286548845,0.2541783228973804,0.28147722281868237
2036,0.21975376210261466,0.24252914337581366,0.281037679966456,0.3132455728340755
2037,0.23638376542129969,0.26222098918839976,0.3088979898732136,0.34666602955351067
2038,0.2527469031086804,0.2819442060987054,0.3379494978269282,0.3820966434692652
2039,0.26892292283939856,0.30184639456452,0.3684249603531198,0.41991652218016373
2040,0.2849873642840839,0.32204912938809116,0.400541752736161,0.4604682997013665
2041,0.3009963217532885,0.34263332007415936,0.43457960909536464,0.5041654281329411
2042,0.3169973379740343,0.36365942246194827,0.4708907175972721,0.5515112952620083
2043,0.33301811738652987,0.3851550398706882,0.5096301063911346,0.6027523506886512
2044,0.34906190153090044,0.4071150575030158,0.5508783547221174,0.6580330129763556
2045,0.36510685643755814,0.42950011971338853,0.5946402376207471,0.7174043576144262
2046,0.3811122343473361,0.4522459775655463,0.6408084814275572,0.7807680169208631
2047,0.3970468475919642,0.4753023000369394,0.6891286114087958,0.847824195883029
2048,0.41286280698300537,0.4985954237474832,0.7393148168904906,0.9182304950911657
2049,0.42850145902557646,0.5220358595201091,0.7913337161179257,0.9919980095525416
2050,0.44389950489454044,0.5455263802766952,0.8449667806829986,1.0688640845259778
