Climate scenario,Optimistic,Optimistic,Pessimistic,Pessimistic
Forecast scenario,Status quo,Improvement,Status quo,Improvement
Year,,,,
2020,9.838895098646105e-05,0.00019678185319005337,9.838895098646105e-05,0.00019678185319005337
2021,0.0030808954634586883,0.0050041375396325805,0.003081608248112211,0.005005485827291878
2022,0.01368112029584978,0.022257587151441882,0.013685793387363532,0.022265342290417323
2023,0.029466724183668802,0.04794553068148133,0.02947531467829556,0.04795964004753461
2024,0.05504487356755572,0.08963442300216062,0.05505173990332235,0.08964582983981284
2025,0.08622819457091424,0.1404500315503432,0.08623465096078142,0.14046089695931574
2026,0.123311534295234,0.20088314342543434,0.12330552872821254,0.20087365792547107
2027,0.1662792873298402,0.27091488161072874,0.16623163943085828,0.27083752843668485
2028,0.21491457101754374,0.3501961798853426,0.21481202739992433,0.3500293389005815
2029,0.2688368026915633,0.4381078307931219,0.26863839669581946,0.4377848934884021
2030,0.3275112125432633,0.5337820294998075,0.3271631771157413,0.533215519213992
2031,0.39027546094434484,0.6361482299129806,0.3897249154713567,0.6352516834038147
2032,0.4563924453486523,0.7439040930700136,0.4555684346228217,0.7425617622664804
2033,0.5251464358905666,0.8558369648607345,0.5239842777021275,0.8539432766377475
2034,0.595954703823498,0.970976295180237,0.5943555500107278,0.9683697164501348
2035,0.6683526561708231,1.0885634059792926,0.6661816724764291,1.0850235328764724
2036,0.7420727614327438,1.2081757116600755,0.7391155930010829,1.2033522469733882
2037,0.8169265113240787,1.3296183441042553,0.8130040305253994,1.323217155587253
2038,0.8928377101423912,1.4528490360813828,0.8877827382007819,1.444601069448126
2039,0.9698407972427603,1.5779767291531632,0.9634768243814928,1.567593151753277
2040,1.0480305309311433,1.705187843254019,1.0400974351714387,1.6922417339747309
2041,1.127432952459606,1.8345373477633542,1.1176222614921238,1.8185244687928481
2042,1.2080637518270043,1.966054512101767,1.1960967873768213,1.9465174888368075
2043,1.2898615476268027,2.099631757759002,1.275483346754136,2.0761513296688516
2044,1.3727291800731178,2.235098904100652,1.3556675878814373,2.2072259939695638
2045,1.4564952650215623,2.3721577690939633,1.4364906916526365,2.339466099367682
2046,1.5408211782372838,2.5102394599473943,1.5177787711923463,2.4725697593284357
2047,1.6254334991004926,2.6488810587604883,1.5992615608178218,2.606078971347636
2048,1.7100533936703188,2.7876095917205745,1.6804520758604502,2.7391805762833066
2049,1.7943938838364204,2.925939426643609,1.7611300926977158,2.87149974415577
2050,1.8780788791300518,3.0632401995476233,1.840985503724868,3.0025131531479454
