Climate scenario,Optimistic,Optimistic,Optimistic,Pessimistic,Pessimistic,Pessimistic
Forecast scenario,Control,Status quo,Improvement,Control,Status quo,Improvement
Year,,,,,,
2015,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,9.838895098646105e-05,0.00019678185319005337,0.0,9.838895098646105e-05,0.00019678185319005337
2021,-0.06181139552757786,-0.05660862947610701,-0.054642253851211464,-0.06139011390279281,-0.056188043137883614,-0.05422100369164573
2022,-0.23261382530559427,-0.2103223658252995,-0.20142113665836403,-0.2346345187631549,-0.21223937073021615,-0.2033311728825593
2023,-0.44954206650691386,-0.4027976610928907,-0.38352041152514005,-0.4599431182719327,-0.4128206283824709,-0.3935215686612481
2024,-0.7707638320786359,-0.6852241520759916,-0.6489846520334019,-0.8026776350020137,-0.7161038647172102,-0.6798062878686562
2025,-1.1323454595252413,-1.0005157623476313,-0.943607884959885,-1.198286877216248,-1.0643877032741944,-1.007355626197648
2026,-1.5333709021981723,-1.3473910396604505,-1.2659157703954538,-1.6460781111171552,-1.4566730010450057,-1.3749900272776672
2027,-1.9688201295458008,-1.7210006809102674,-1.6110799362044181,-2.1438893659112446,-1.8909358115949737,-1.7807169443167403
2028,-2.4321098512603223,-2.115308233710056,-1.9732310959938326,-2.686856445386332,-2.362790935092296,-2.2203015560802397
2029,-2.9148198877760545,-2.522727747394704,-2.3450736452660492,-3.2675501463092282,-2.865710298112012,-2.6875279886333647
2030,-3.4076082863141344,-2.934985721463723,-2.718729802351949,-3.879948483185214,-3.394684074624277,-3.177788556495398
2031,-3.9015922006928716,-3.3444081062495856,-3.087013279792028,-4.515227911589658,-3.9421158039856685,-3.6839774231898548
2032,-4.389697813121051,-3.7451624588626498,-3.4447328990441783,-5.164813650264977,-4.500786332779061,-4.199543316278853
2033,-4.866810535326116,-4.133252980380253,-3.7884600168738847,-5.823973548981087,-5.067120754544319,-4.721485442107021
2034,-5.3290512613896945,-4.505687889545507,-4.1156436418774085,-6.488942625025396,-5.638345112756915,-5.247504928147229
2035,-5.7745582884691675,-4.861295810040412,-4.42544332773227,-7.158615352464981,-6.214125967613693,-5.77763691720553
2036,-6.202525216800514,-5.199668767882626,-4.717624744715487,-7.8357392924627955,-6.797686684880744,-6.315340451832407
2037,-6.614114869203503,-5.522222990874004,-4.993617535652605,-8.524847268713787,-7.393717998001714,-6.8652942989189665
2038,-7.011750573354803,-5.831409202397109,-5.25582615227409,-9.229439707871446,-8.005764092033429,-7.430980608250337
2039,-7.397663574647584,-6.129328819414159,-5.506255086724687,-9.953613468226251,-8.637848982897978,-8.016343370541046
2040,-7.773308980529581,-6.417251729614071,-5.7460486328024585,-10.70130309411983,-9.293833223699565,-8.625178476163619
2041,-8.14026954384326,-6.696639824949302,-5.976597574509912,-11.477798110724146,-9.978944788017408,-9.262691858325212
2042,-8.499537638310562,-6.968346857658069,-6.198698983045037,-12.288047930213475,-10.697956662625375,-9.933588641337575
2043,-8.851576089071479,-7.232784831702233,-6.412761362908748,-13.132376510418297,-11.451149719151598,-10.638126616050492
2044,-9.196007539101014,-7.489581380229627,-6.618430615206384,-14.009429417885977,-12.237271814744421,-11.375106886165343
2045,-9.531893415940152,-7.7379064804360524,-6.814950391343466,-14.916306598754991,-13.053601185514186,-12.141898145868046
2046,-9.859037554853046,-7.977820098229927,-7.002565023509588,-15.8475891775956,-13.894955519735685,-12.933414439413426
2047,-10.176603878484302,-8.20867644490778,-7.180776364226771,-16.79576753655422,-14.754194594952963,-13.742684682106399
2048,-10.483120211518903,-8.429250874585959,-7.34851121466874,-17.75513345348987,-15.62623452146168,-14.564943984142264
2049,-10.776992648060524,-8.638236831951884,-7.504621174238202,-18.723532351882376,-16.509254976688837,-15.398543152030397
2050,-11.057520613531757,-8.835295757791384,-7.648991783896186,-19.695140852864878,-17.397728454103213,-16.23810188794348
