Climate scenario,Optimistic,Optimistic,Pessimistic,Pessimistic
Forecast scenario,Status quo,Improvement,Status quo,Improvement
Year,,,,
2015,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0
2020,9.838895098646105e-05,0.00019678185319005337,9.838895098646105e-05,0.00019678185319005337
2021,0.005205983942802028,0.007173575763652629,0.005205266283803134,0.007173514039582329
2022,0.022343433395421997,0.03126541632814117,0.02244781836353571,0.031376967076290896
2023,0.0469554900945468,0.06631979033775437,0.04734022801036186,0.06672846258224396
2024,0.08620411010509255,0.12272510073456644,0.08727430158472771,0.12386558850978613
2025,0.1333395616496924,0.1908992131375964,0.1355231298223014,0.19324690330149163
2026,0.18887603266382058,0.2716200749972586,0.19257504574767825,0.27562508808316455
2027,0.25279655815937385,0.3649249083955919,0.25849540992093356,0.3711290171264814
2028,0.3246986452892564,0.47031739086182967,0.3330130940762066,0.4794366642202341
2029,0.40386405003123294,0.5868519189555332,0.41541369913096204,0.5996148743810048
2030,0.48929585080710325,0.7131808952449692,0.5048524224688489,0.7305030694526815
2031,0.5798057503792586,0.8476507983379067,0.6002130968834951,0.870558174061653
2032,0.674127515043943,0.9883505150207084,0.7001908711784521,1.0178398663407195
2033,0.7710847907798302,1.1335166249762496,0.8036576005151508,1.1706674707150366
2034,0.8697107009221217,1.2817106363458342,0.9096223870698195,1.3275838512873062
2035,0.9692313050913448,1.4317947851782753,1.0173150566818556,1.4874599732675575
2036,1.069172119223749,1.5830921626804662,1.126307095193968,1.649662058761625
2037,1.169225816942454,1.7352700906365204,1.236542642388172,1.8142117506705357
2038,1.269344651862503,1.8883293662452338,1.3480974579201055,1.9813242243224005
2039,1.3696574019553376,2.042506227094587,1.4612074243134598,2.1514134795421525
2040,1.4703522764675903,2.1981275976811654,1.5761370761140148,2.324921516093803
2041,1.571558844909715,2.3554085763032306,1.6931948039222044,2.5023171646471276
2042,1.673424091126341,2.5145650588852764,1.812855865210894,2.6843083904946274
2043,1.775994787305546,2.675652108418225,1.9353894163667729,2.8713228176052707
2044,1.879241333585835,2.8386162921245406,2.060874339064056,3.0635016303387275
2045,1.9830048436320302,3.0032053584233998,2.189262523497315,3.2607992694947407
2046,2.0869728984399094,3.1688950881589406,2.3203537947127373,3.4629723732244155
2047,2.1908851352205216,3.3352418675026474,2.4536888102395293,3.6693840734473904
2048,2.294393349931334,3.501695997734622,2.588488523869481,3.8788919032940683
2049,2.397090032700122,3.667631893323753,2.7243769805303852,4.090961745836874
2050,2.4984966363310823,3.8322844754810736,2.8608634933937616,4.304893877700966
