Climate scenario,Optimistic,Optimistic,Optimistic,Pessimistic,Pessimistic,Pessimistic
Forecast scenario,Control,Status quo,Improvement,Control,Status quo,Improvement
Year,,,,,,
2020,0.0,9.838895098646105e-05,0.00019678185319005337,0.0,9.838895098646105e-05,0.00019678185319005337
2021,-3.042350815718464e-08,0.00011749875821198685,9.75071889008916e-05,-3.042350815718464e-08,0.00011579758103508198,9.585228526454159e-05
2022,1.855859910193658e-08,0.0010740811932308247,0.0011742746815812666,1.855859910193658e-08,0.0010562678229630862,0.0011586817425746077
2023,4.1378900306199284e-09,0.002749185999850745,0.0030616654299819857,4.1378900306199284e-09,0.0026990124356363054,0.003014051083316538
2024,-1.9655993499512192e-07,0.00574358236637984,0.006603365922708271,-1.9655993499512192e-07,0.0056289531029873885,0.006490318429319686
2025,1.680504624346213e-08,0.009491221373547631,0.011010556051282983,1.680504624346213e-08,0.009278429284309553,0.01079858687669244
2026,8.462266443132194e-08,0.014188636665957155,0.016531698123922745,8.462266443132194e-08,0.01384139335944834,0.016184180046519003
2027,2.7519631018435575e-08,0.019928071302044437,0.023282845361149995,2.7519631018435575e-08,0.019407824450246025,0.02276041634208248
2028,6.497025140106416e-10,0.02669080508066468,0.031242002627163146,6.497025140106416e-10,0.025945295385709777,0.03049168977367067
2029,1.2888690115175905e-08,0.034359667908967495,0.04026883448837726,1.2888690115175905e-08,0.03333219520309516,0.03923271519978844
2030,-4.603524228485867e-08,0.04275883052948792,0.05015366811833566,-4.603524228485867e-08,0.041397568845535915,0.04877827659155454
2031,3.040652174490788e-08,0.0516826217979105,0.06065274963631406,3.040652174490788e-08,0.049948055398774116,0.05889668160319328
2032,1.0204437295158186e-08,0.0609277792416929,0.07142262849015868,1.0204437295158186e-08,0.058784750701601496,0.06924854084966459
2033,1.5025913846500316e-08,0.07031151288039439,0.08219284067725319,1.5025913846500316e-08,0.06771450684706082,0.07955295070893875
2034,9.077822937797464e-08,0.07965255197752708,0.09272375764768359,9.077822937797464e-08,0.07655764582865654,0.08957165512888388
2035,1.0199530109389343e-07,0.08878080466561133,0.10281024058680366,1.0199530109389343e-07,0.0851567139874776,0.09911128979189776
2036,-1.0779800385662952e-07,0.09754335564720051,0.11228564084782011,-1.0779800385662952e-07,0.09337818095769279,0.10802304367927285
2037,-9.348182228308133e-08,0.1058279898198844,0.12112702490565397,-9.348182228308133e-08,0.10111996172783577,0.11629328437856579
2038,-3.912236090641841e-08,0.11360061553262746,0.12936892128578847,-3.912236090641841e-08,0.108308184999939,0.12391774267861422
2039,-1.857035636376736e-08,0.1208387283210044,0.13702886405368986,-1.857035636376736e-08,0.11489518563592149,0.1308912407915086
2040,-1.935817062204137e-08,0.12750046517662206,0.14409610999033262,-1.935817062204137e-08,0.12085525245242312,0.13721439341438657
2041,-2.2627255624740883e-08,0.13356572168274905,0.1505594305981406,-2.2627255624740883e-08,0.12617889679100713,0.14288752309579156
2042,3.40527606113028e-09,0.13903511783419642,0.15642754372517942,3.40527606113028e-09,0.13086570822073984,0.1479157484503668
2043,-3.972411288799549e-09,0.1439083310922351,0.16169422797442934,-3.972411288799549e-09,0.13491608880622508,0.15229985856641814
2044,-1.1815259881586826e-08,0.14817126768522648,0.1663373113523603,-1.1815259881586826e-08,0.13833423691600455,0.1560343554452448
2045,-1.2543954763799547e-08,0.15178995842932697,0.17031218189942354,-1.2543954763799547e-08,0.14111738028574905,0.15910657127298222
2046,-1.0064604705206648e-08,0.1547824185289537,0.17362325485894559,-1.0064604705206648e-08,0.14325682264020312,0.1614970601095278
2047,-7.496092635506102e-09,0.15715694372326894,0.17626458491195596,-7.496092635506102e-09,0.1447380220531036,0.1631795564371874
2048,-5.580902406876476e-09,0.15886395017052912,0.1781736316761151,-5.580902406876476e-09,0.14554216571913692,0.16412039272590828
2049,-8.914591287378926e-09,0.15983346926067288,0.17926817747504487,-8.914591287378926e-09,0.14564700121926233,0.16428395939975804
2050,6.743205993586798e-09,0.16004307783070715,0.1795135330467934,6.743205993586798e-09,0.14503159781993347,0.16363812089918994
