Climate scenario,Optimistic,Optimistic,Pessimistic,Pessimistic
Forecast scenario,Status quo,Improvement,Status quo,Improvement
Year,,,,
2015,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0
2020,9.838895098646105e-05,0.00019678185319005337,9.838895098646105e-05,0.00019678185319005337
2021,0.00011752918176455296,9.753761243125325e-05,0.00011582800458764808,9.588270879490324e-05
2022,0.0010740626344096782,0.00117425612276012,0.0010562492641419396,0.0011586631837534611
2023,0.0027491818618274877,0.0030616612919587283,0.0026990082976352525,0.0030140469452932805
2024,0.0057437789376058035,0.006603562495621773,0.005629149673991307,0.0064905150020111435
2025,0.009491204566902667,0.011010539244393769,0.009278412477731202,0.01079857006982543
2026,0.01418855203128011,0.0165316134872473,0.013841308725059953,0.01618409541015442
2027,0.019928043776928916,0.023282817835101888,0.01940779692526373,0.022760388816167598
2028,0.02669080443078453,0.03124200197726079,0.02594529473585183,0.030491689123790522
2029,0.03435965501585869,0.040268821594513504,0.033332182310119585,0.039232702306035705
2030,0.042758876584425565,0.05015371417667058,0.04139761489982963,0.04877832264924553
2031,0.051682591375668,0.06065271921134041,0.04994802497706452,0.05889665117877474
2032,0.06092776903103836,0.07142261827843832,0.05878474049114679,0.06924853063816627
2033,0.07031149784391122,0.08219282563899366,0.06771449181097733,0.0795529356710789
2034,0.07965246112699997,0.09272366678529931,0.0765575549809272,0.08957156426934176
2035,0.08878070257976045,0.1028101384866531,0.08515661190533486,0.09911118769552196
2036,0.09754346355035359,0.11228574876687158,0.09337828885636057,0.108023151593728
2037,0.10582808340064975,0.1211271185006968,0.10112005530418244,0.11629337796910111
2038,0.11360065469943059,0.12936896045876445,0.10830822416467711,0.12391778184945856
2039,0.12083874691377616,0.13702888264948143,0.11489520422760524,0.13089125938616775
2040,0.12750048455947294,0.14409612937640315,0.12085527183400835,0.13721441279912483
2041,0.13356574434024715,0.15055945325948006,0.1261789194468177,0.14288754575537688
2042,0.1390351144241908,0.1564275403145743,0.13086570481100068,0.14791574504005034
2043,0.14390833507036405,0.16169423195326882,0.13491609278399874,0.15229986254488015
2044,0.14817127951798348,0.16633732318727112,0.1383342487476069,0.1560343672789566
2045,0.15178997099232205,0.1703121944647501,0.14111739284738967,0.1591065838369099
2046,0.15478242860913483,0.1736232649410141,0.14325683271922962,0.16149707019039727
2047,0.15715695123112994,0.17626459242126025,0.14473802956005422,0.1631795639455147
2048,0.1588639557603022,0.178173637266954,0.14554217130815505,0.16412039831594782
2049,0.15983347818950833,0.17926818640561226,0.14564701014685433,0.16428396832899317
2050,0.1600430710767098,0.17951352629148598,0.1450315910669353,0.16363811414494833
